round,period,method,total,blue_hits,full_hits,best_weights
20,2025136,xiaoliuren,1000,72,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
20,2025136,qimen,1000,69,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
20,2025136,ziwei,1000,69,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
20,2025136,ai_fusion,1000,75,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
20,2025136,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
21,2025137,xiaoliuyao,1000,111,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
21,2025137,xiaoliuren,1000,103,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
21,2025137,qimen,1000,63,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
21,2025137,ziwei,1000,89,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
21,2025137,ai_fusion,1000,100,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
21,2025137,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
22,2025138,xiaoliuyao,1000,27,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
22,2025138,xiaoliuren,1000,39,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
22,2025138,qimen,1000,62,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
22,2025138,ziwei,1000,29,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
22,2025138,ai_fusion,1000,44,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
22,2025138,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
23,2025138,xiaoliuyao,1000,36,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
23,2025138,xiaoliuren,1000,31,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
23,2025138,qimen,1000,83,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
